nombre,sector,precio,area,publicador1,publicador2,tiempo_publicacion,finalizado,fecha_venta
Venta Lotes Urbanizados en Quito con Vista a Valles Cerca Campus Uide,"Los Chillos, Quito",USD 78.000,516 a 77762 m² totales,/logo_renazzo_9.jpg,/230119175.jpg,,Venta,Diciembre 2020
"Proyecto Urb. Campestre ""Campo Azul"" - Ruta Viva - Desde $108.900","El Quinche, Quito",USD 108.947,1282 a 2113 m² totales,/logo_info_1600786330728.jpg,/229118195.jpg,,Venta,Inmediata
Manto Verde - Lotes Unifamiliares y Bifamiliares Desde 900 m² a 1200 m²,"Cumbayá, Quito",USD 235.300,900 a 1161 m² totales,/logo_alvarez-bravo_1543873550569.jpg,/230151387.jpg,,Venta,Inmediata
Urbanización Altos de La Colina Terrenos en Venta Sur de Quito,"Vía Simón Bolivar, Quito",USD 21.500,210 m² totales,/logo_proinmobiliaria_1601567320856.jpg,/230130074.jpg,,En planos,Inmediata
El Belén Terrenos en Venta Desde $23.500,"Sur de Quito, Quito",USD 25.000,200 m² totales,/logo_mutualista-pichincha.jpg,/logo_mutualista-pichincha.jpg,,Venta,Inmediata
Urbanizacion Privada - Terrenos en Venta Los Chillos,"Los Chillos, Quito",USD 79.500,566 m² totales,/logo_proinmobiliaria_1601567320856.jpg,/230130515.jpg,,En planos,Inmediata
Hacienda La Pradera Lotes de Terreno Ideales Para Casa de Campo,"Guayllabamba, Quito",USD 36.000,5 Estacionamientos,/logo_constructora-monge_1531453042006.jpg,/logo_constructora-monge_1531453042006.jpg,Publicado hace más de 1 año,,
Se Vende Lote Esquinero con Tres Frentes en Urbanización Privada en El Valle,"Los Chillos, Quito",USD 115.000,0 Baños,/logo_constructora-monge_1531453042006.jpg,/logo_constructora-monge_1531453042006.jpg,Publicado hace 34 días,,
Vendo Terreno de 2620 m² Tumbaco,"Tumbaco, Quito",USD 315.000,0 Baños,/logo_propiedad-servicios-inmobiliarios_1592489362595.jpg,/logo_propiedad-servicios-inmobiliarios_1592489362595.jpg,Publicado hace 4 días,,
"Puembo - Villa Fontana, Espectacular Terreno en Venta de 527 m²","Puembo, Quito",USD 190.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 32 días,,
"Hacienda de Venta en Nono, 12 Has Sector Noroccidente","Norte de Quito, Quito",USD 180.000,0 Baños,/logo_ocivil-s.a._8.jpg,/logo_ocivil-s.a._8.jpg,Publicado hace más de 1 año,,
"Llano Chico 1.140 m² Urbanización El Arupo, Av Simón Bolívar","Llano Chico, Quito",USD 131.100,0 Baños,/logo_ocivil-s.a._8.jpg,/logo_ocivil-s.a._8.jpg,Publicado hace más de 1 año,,
Terreno de Venta en Plena Av Mariscal Antonio José de Sucre - Guamaní,"Quitumbe, Quito",USD 1.200.000,0 Baños,/logo_temp_dolores-calahorrano.jpg,/logo_temp_dolores-calahorrano.jpg,Publicado desde ayer,,
"Puembo, 863 m² Urbanización Villa Fontana, Frente Al Club Arrayanes.","Puembo, Quito",USD 295.000,0 Baños,/logo_ocivil-s.a._8.jpg,/logo_ocivil-s.a._8.jpg,Publicado hace más de 1 año,,
"Terraviva, Lote de Terreno de Venta, Tumbaco / Chiviqui","Tumbaco, Quito",USD 291.890,0 Baños,/logo_andino-y-asociados_1576098145830.jpg,/logo_andino-y-asociados_1576098145830.jpg,Publicado hace más de 1 año,,
"Tumbaco - Collaquí, Para Urbanizadores, Hermoso Terreno en Venta, 20.000 m²","Tumbaco, Quito",USD 2.500.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 32 días,,
"Cumbayá - Tanda, Hermoso Terreno en Venta, 850 m²","Nayón - Tanda, Quito",USD 200.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 32 días,,
Vende Terreno en Urbanización de Primera Sector Pacho Salas,"Tumbaco, Quito",USD 299.570,0 Baños,/logo_arm-bienes-raices_1602033663741.jpg,/logo_arm-bienes-raices_1602033663741.jpg,Publicado hace 285 días,,
Vendo Excelente Terreno Bien Ubicado en El Sector de Santa Lucia. Apto Para El Desarrollo de Proyec,"Norte de Quito, Quito",USD 604.999,0 Baños,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,/logo_inmoimpakto-inmobiliaria_1600984048693.jpg,Publicado hace 85 días,,
Vendo Hermoso Terreno Plano Sector Gualo,"Calderón, Quito",USD 205.000,0 Baños,/logo_radicar_5.jpg,/logo_radicar_5.jpg,Publicado hace 10 días,,
"Tumbaco - Collaquí, Para Urbanizadores, Hermoso Terreno en Venta, 10.000 m²","Tumbaco, Quito",USD 1.250.000,0 Baños,/logo_corporacion-vyasa_1552611954132.jpg,/logo_corporacion-vyasa_1552611954132.jpg,Publicado hace 32 días,,
Vendo 2 Terrenos en Puembo Distintas Dimensiones,"Puembo, Quito",USD 131.993,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 67 días,,
Venta Hermoso Terreno Urb Privada,"Los Chillos, Quito",USD 83.000,0 Baños,/placeholder-img.png,/placeholder-img.png,Publicado hace 17 días,,
Checa Terreno en Venta (Plano),"Checa, Quito",USD 255.000,0 Baños,/logo_mari-a-de-los-angeles-salvador_1528210855243.jpg,/logo_mari-a-de-los-angeles-salvador_1528210855243.jpg,Publicado hace 68 días,,
